dimension,train_size,f1_macro_avg,f1_macro_stdev,f1_micro_avg,f1_micro_stdev,f1_weighted_avg,f1_weighted_stdev,recall_macro_avg,recall_macro_stdev,recall_micro_avg,recall_micro_stdev,recall_weighted_avg,recall_weighted_stdev,precision_macro_avg,precision_macro_stdev,precision_micro_avg,precision_micro_stdev,precision_weighted_avg,precision_weighted_stdev,accuracy_avg,accuracy_stdev
reference,40,0.6024,0.2121212945,0.85,0.0966712386,0.82048,0.1002906822,0.62096,0.2065555176,0.85,0.0966712386,0.85,0.0966712386,0.5902,0.2191335545,0.85,0.0966712386,0.80156,0.1280017851,0.85,0.0966712386
reference,60,0.6664,0.157794153,0.89004,0.0570368646,0.86608,0.0760029851,0.69676,0.152466958,0.89004,0.0570368646,0.89004,0.0570368646,0.65068,0.164338149,0.89004,0.0570368646,0.85108,0.0981897238,0.89004,0.0570368646
reference,80,0.80276,0.154704583,0.92012,0.0598703372,0.91248,0.0656118988,0.83428,0.1524501113,0.92012,0.0598703372,0.92012,0.0598703372,0.8024,0.1598921181,0.92012,0.0598703372,0.91792,0.0732176751,0.92012,0.0598703372
reference,100,0.87204,0.1146313395,0.95,0.0388034375,0.94272,0.0439996749,0.8798,0.1205892518,0.95,0.0388034375,0.95,0.0388034375,0.89012,0.1107556319,0.95,0.0388034375,0.94652,0.0487785043,0.95,0.0388034375
reference,120,0.85764,0.1164743692,0.94992,0.0324580957,0.94276,0.0359788173,0.84776,0.1141967964,0.94992,0.0324580957,0.94992,0.0324580957,0.89928,0.1275337796,0.94992,0.0324580957,0.94688,0.0386728358,0.94992,0.0324580957
reference,140,0.86944,0.0877306524,0.9528,0.0303936427,0.94696,0.0344018527,0.85528,0.0936648432,0.9528,0.0303936427,0.9528,0.0303936427,0.93568,0.0716192967,0.9528,0.0303936427,0.95816,0.0265019194,0.9528,0.0303936427
reference,160,0.8844,0.0971643228,0.95264,0.0348603443,0.94788,0.0402133848,0.87524,0.1126416714,0.95264,0.0348603443,0.95264,0.0348603443,0.93036,0.0771407903,0.95264,0.0348603443,0.95636,0.0374313611,0.95264,0.0348603443
reference,180,0.87768,0.1039926236,0.95768,0.032127282,0.95032,0.0409302643,0.87528,0.1056397812,0.95768,0.032127282,0.95768,0.032127282,0.91712,0.0907990128,0.95768,0.032127282,0.95524,0.0416112951,0.95768,0.032127282
reference,200,0.86436,0.0988134473,0.954,0.0313783496,0.94884,0.0373170263,0.85132,0.1128866335,0.954,0.0313783496,0.954,0.0313783496,0.92504,0.0730862256,0.954,0.0313783496,0.95804,0.034657094,0.954,0.0313783496
reference,220,0.86652,0.0856901667,0.94928,0.0302510042,0.94564,0.0323601801,0.84556,0.1081767882,0.94928,0.0302510042,0.94928,0.0302510042,0.92724,0.0591821579,0.94928,0.0302510042,0.95456,0.0281017897,0.94928,0.0302510042
reference,240,0.84832,0.0900046888,0.94344,0.030717759,0.9382,0.0357859713,0.83064,0.1043743479,0.94344,0.030717759,0.94344,0.030717759,0.91388,0.0662966316,0.94344,0.030717759,0.94852,0.0301480162,0.94344,0.030717759
target,20,0.5432,0.255358963,0.8,0.1118033989,0.7144,0.1596552536,0.6,0.2236067977,0.8,0.1118033989,0.8,0.1118033989,0.5,0.2795084972,0.8,0.1118033989,0.6496,0.1958795548,0.8,0.1118033989
target,40,0.38868,0.1134271421,0.79,0.0634398716,0.70912,0.0839786668,0.4332,0.1170642022,0.79,0.0634398716,0.79,0.0634398716,0.35432,0.113244027,0.79,0.0634398716,0.64548,0.0991129766,0.79,0.0634398716
target,60,0.4528,0.1683645095,0.81992,0.0655218096,0.75496,0.0920638078,0.48324,0.1611688368,0.81992,0.0655218096,0.81992,0.0655218096,0.4424,0.1967726613,0.81992,0.0655218096,0.70736,0.1180901284,0.81992,0.0655218096
target,80,0.44628,0.167289931,0.81476,0.0483130602,0.75816,0.0710821241,0.46568,0.1518464652,0.81476,0.0483130602,0.81476,0.0483130602,0.44496,0.2042380271,0.81476,0.0483130602,0.71716,0.0993196358,0.81476,0.0483130602
target,100,0.52608,0.185983407,0.838,0.0506588995,0.79136,0.0725474028,0.5366,0.1768584854,0.838,0.0506588995,0.838,0.0506588995,0.56224,0.2327040189,0.838,0.0506588995,0.77016,0.108817668,0.838,0.0506588995
target,120,0.58388,0.1701435877,0.85332,0.0463589497,0.81324,0.0576698047,0.58696,0.1622568015,0.85332,0.0463589497,0.85332,0.0463589497,0.64404,0.2297474416,0.85332,0.0463589497,0.80332,0.0898550881,0.85332,0.0463589497
target,140,0.65764,0.1396423421,0.86004,0.0454697007,0.83156,0.0620897034,0.63668,0.1418268073,0.86004,0.0454697007,0.86004,0.0454697007,0.76048,0.1895748163,0.86004,0.0454697007,0.8366,0.0869336641,0.86004,0.0454697007
target,160,0.70484,0.1317783816,0.87376,0.0391036021,0.84912,0.0550758293,0.67284,0.1233619235,0.87376,0.0391036021,0.87376,0.0391036021,0.81572,0.1843179223,0.87376,0.0391036021,0.85688,0.0759830142,0.87376,0.0391036021
target,180,0.7156,0.1216438645,0.8722,0.0297267518,0.84936,0.0465658117,0.67968,0.1222835915,0.8722,0.0297267518,0.8722,0.0297267518,0.83536,0.1443389714,0.8722,0.0297267518,0.8612,0.0590528654,0.8722,0.0297267518
target,200,0.74428,0.1320527713,0.884,0.04386874,0.863,0.0588866887,0.71012,0.12921283,0.884,0.04386874,0.884,0.04386874,0.84344,0.1622706353,0.884,0.04386874,0.86888,0.0768736086,0.884,0.04386874
target,220,0.76064,0.104781776,0.89548,0.0388191078,0.877,0.052705185,0.72232,0.1003277635,0.89548,0.0388191078,0.89548,0.0388191078,0.88436,0.1076000777,0.89548,0.0388191078,0.89228,0.0541483666,0.89548,0.0388191078
target,240,0.7746,0.0943340644,0.89848,0.0345692205,0.88528,0.0428133314,0.7322,0.0958492804,0.89848,0.0345692205,0.89848,0.0345692205,0.869,0.0975392828,0.89848,0.0345692205,0.8912,0.0478539673,0.89848,0.0345692205
